"Variable Name","Variable Type","Description"
"Hours_Studied","numeric","Hours Studied"
"Attendance","numeric","Attendance"
"Parental_Involvement","factor","Parental Involvement"
"Access_to_Resources","factor","Access to Resources"
"Extracurricular_Activities","factor","Extracurricular Activities"
"Sleep_Hours","numeric","Sleep Hours"
"Previous_Scores","numeric","Previous Scores"
"Motivation_Level","factor","Motivation Level"
"Internet_Access","factor","Internet Access"
"Tutoring_Sessions","numeric","Tutoring Sessions"
"Family_Income","factor","Family Income"
"Teacher_Quality","factor","Teacher Quality"
"School_Type","factor","School Type"
"Peer_Influence","factor","Peer Influence"
"Physical_Activity","numeric","Physical Activity"
"Learning_Disabilities","factor","Learning Disability"
"Parental_Education_Level","factor","Parental Education Level"
"Distance_from_Home","factor","Distance from Home"
"Gender","factor","Gender"
"Exam_Score","numeric","Exam Score"
